 Cannot stand this hell I feel

 Emptiness is filling me
 To the point of agony
 Growing darkness taking dawn
 I was me, but now he's gone

 No one but me can save myself, but it's too late
 Now I can't think, think why I should even try

 Yesterday seems as though it never existed
 Death greets me warm, now I will just say goodbye "15,2,Ride The Lightning,Trapped Under Ice,1,5,1984,0,4,4,244,0,0,0,1,1,1,0,0,0,0,0,21,"I don't know how to live through this hell
 Woken up, I'm still locked in this shell
 Frozen soul, frozen down to the core
 Break the ice, I can't take anymore

 Freezing
 Can't move at all
 Screaming
 Can't hear my call
 I am dying to live
 Cry out
 I'm trapped under ice

 Crystallized, as I lay here and rest
 Eyes of glass stare directly at death
 From deep sleep I have broken away
 No one knows, no one hears what I say

 Freezing
 Can't move at all
 Screaming
 Can't hear my call
 I am dying to live
 Cry out
 I'm trapped under ice

 Scream from my soul
 Fate, mystified
 Hell, forever more

 No release from my cryonic state
 What is this? I've been stricken by fate
 Wrapped up tight, cannot move, can't break free
 Hand of doom has a tight grip on me

 Freezing
 Can't move at all
 Screaming
 Can't hear my call
 I am dying to live
 Cry out
 I'm trapped under ice"16,2,Ride The Lightning,Escape,1,6,1984,0,4,23,263,0,0,0,1,1,1,0,0,0,0,0,1,"Feel no pain, but my life ain't easy
 I know I'm my best friend
 No one cares, but I'm so much stronger
 I'll fight until the end

 To escape from the true false world
 Undamaged destiny
 Can't get caught in the endless circle
 Ring of stupidity

 Out for my own, out to be free
 One with my mind, they just can't see
 No need to hear things that they say
 Life's for my own, to live my own way

 Rape my mind and destroy my feelings
 Don't tell me what to do
 I don't care now 'cause I'm on my side
 And I can see through you

 Feed my brain with your so-called standards
 Who says that I ain't right?
 Break away from your common fashion
 See through your blurry sight

 Out for my own, out to be free
 One with my mind, they just can't see
 No need to hear things that they say
 Life's for my own, to live my own way

 See them try to bring the hammer down
 No damn chains can hold me to the ground

 Life's for my own, to live my own way
 Life's for my own, to live my own way
 Life's for my own, to live my own way
 Life's for my own, to live my own way
 Life's for my own, to live my own way
 Life's for my own, to live my own way"17,2,Ride The Lightning,Creeping Death,1,7,1984,0,6,35,395,0,0,0,1,1,1,1,0,0,0,0,1466,"Slaves
 Hebrews born to serve, to the pharaoh
 Heed
 To his every word, live in fear
 Faith
 Of the unknown one, the deliverer
 Wait
 Something must be done, four hundred years

 So let it be written
 So let it be done
 I'm sent here by the chosen one
 So let it be written
 So let it be done
 To kill the first born pharaoh son
 I'm creeping death

 Now
 Let my people go, land of goshen
 Go
 I will be with thee, bush of fire
 Blood
 Running red and strong, down the Nile
 Plague
 Darkness three days long, hail to fire

 So let it be written
 So let it be done
 I'm sent here by the chosen one
 So let it be written
 So let it be done
 To kill the first born pharaoh son
 I'm creeping death

 Die by my hand
 I creep across the land
 Killing first born man

 Die by my hand
 I creep across the land
 Killing first born man

 I
 Rule the midnight air, the destroyer
 Born
 I shall soon be there, deadly mass
 I
 Creep the steps and floor, final darkness
 Blood
 Lamb's blood, painted door, I shall pass

 So let it be written
 So let it be done
 I'm sent here by the chosen one
 So let it be written
 So let it be done
 To kill the first born pharaoh son
 I'm creeping death "18,2,Ride The Lightning,The Call of Ktulu,1,8,1984,0,8,53,533,0,0,0,1,1,0,1,1,0,0,0,82,19,3,Master of Puppets,Battery,1,1,1986,0,5,12,312,0,0,0,1,1,0,0,0,0,0,0,940,"Lashing out the action, returning the reaction
 Weak are ripped and torn away
 Hypnotizing power, crushing all that cower
 Battery is here to stay

 Smashing through the boundaries
 Lunacy has found me
 Cannot stop the battery
 Pounding out aggression
 Turns into obsession
 Cannot kill the battery

 Cannot kill the family
 Battery is found in me

 Battery
 Battery

 Crushing all deceivers, mashing non-believers
 Never-ending potency
 Hungry violence-seeker, feeding off the weaker
 Breeding on insanity

 Smashing through the boundaries
 Lunacy has found me
 Cannot stop the battery
 Pounding out aggression
 Turns into obsession
 Cannot kill the battery

 Cannot kill the family
 Battery is found in me

 Battery
 Battery

 Circle of destruction, hammer comes crushing
 Powerhouse of energy
 Whipping up a fury, dominating flurry
 We create the battery

 Smashing through the boundaries
